"scope","operation_id","command","argument_form","status","evidence","live_record"
"api","APIKeyService_RotateAPIKey","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys rotate","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys rotate <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","WorkspaceAdminService_ListProfiles","/tmp/redwood-cli-live.g6SvWe/cadenya workspace-admin list-profiles","/tmp/redwood-cli-live.g6SvWe/cadenya workspace-admin list-profiles [--limit <value>] [--cursor <value>] [--query <value>] [--labels <value>]","blocked","real api.cadenya.com: generated CLI reached the endpoint; supplied credential returned ADMIN_ROLE_REQUIRED (HTTP 403)",""
"api","WorkspaceAdminService_ListAccountWorkspaces","/tmp/redwood-cli-live.g6SvWe/cadenya workspace-admin list-account","/tmp/redwood-cli-live.g6SvWe/cadenya workspace-admin list-account [--limit <value>] [--cursor <value>] [--include-archived[=true|false]] [--labels <value>]","blocked","real api.cadenya.com: generated CLI reached the endpoint; supplied credential returned ADMIN_ROLE_REQUIRED (HTTP 403)",""
"api","WorkspaceAdminService_CreateWorkspace","/tmp/redwood-cli-live.g6SvWe/cadenya workspace-admin create","/tmp/redwood-cli-live.g6SvWe/cadenya workspace-admin create --name <value> [--external-id <value>] [--label KEY=VALUE]... [--description <value>] [-f <doc>] [--dry-run]","blocked","real api.cadenya.com: flattened --name request reached the endpoint; supplied credential returned ADMIN_ROLE_REQUIRED (HTTP 403)",""
"api","WorkspaceAdminService_GetWorkspace","/tmp/redwood-cli-live.g6SvWe/cadenya workspace-admin retrieve","/tmp/redwood-cli-live.g6SvWe/cadenya workspace-admin retrieve [--workspace-id <value>]","blocked","real api.cadenya.com: generated CLI reached the endpoint; supplied credential returned ADMIN_ROLE_REQUIRED (HTTP 403)",""
"api","WorkspaceAdminService_ArchiveWorkspace","/tmp/redwood-cli-live.g6SvWe/cadenya workspace-admin archive","/tmp/redwood-cli-live.g6SvWe/cadenya workspace-admin archive [--workspace-id <value>]","blocked","real api.cadenya.com: generated CLI request reached the endpoint; supplied credential returned ADMIN_ROLE_REQUIRED (HTTP 403)",""
"api","WorkspaceAdminService_UpdateWorkspace","/tmp/redwood-cli-live.g6SvWe/cadenya workspace-admin update","/tmp/redwood-cli-live.g6SvWe/cadenya workspace-admin update [--workspace-id <value>] [--name <value>] [--external-id <value>] [--label KEY=VALUE]... [--description <value>] [--update-mask <value>] [-f <doc>] [--dry-run]","blocked","real api.cadenya.com: flattened --name request reached authorization; test workspace prerequisite unavailable (HTTP 403)",""
"api","WorkspaceAdminService_ListWorkspaceMembers","/tmp/redwood-cli-live.g6SvWe/cadenya workspace-admin list-members","/tmp/redwood-cli-live.g6SvWe/cadenya workspace-admin list-members [--workspace-id <value>] [--limit <value>] [--cursor <value>]","blocked","real api.cadenya.com: generated CLI reached the endpoint; supplied credential returned ADMIN_ROLE_REQUIRED (HTTP 403)",""
"api","WorkspaceAdminService_AddWorkspaceMember","/tmp/redwood-cli-live.g6SvWe/cadenya workspace-admin add-member","/tmp/redwood-cli-live.g6SvWe/cadenya workspace-admin add-member [--workspace-id <value>] [--profile-id <value>] [--email <value>] [-f <doc>] [--dry-run]","blocked","real api.cadenya.com: flattened --email request reached the endpoint; supplied credential returned ADMIN_ROLE_REQUIRED (HTTP 403)",""
"api","WorkspaceAdminService_RemoveWorkspaceMember","/tmp/redwood-cli-live.g6SvWe/cadenya workspace-admin remove-member","/tmp/redwood-cli-live.g6SvWe/cadenya workspace-admin remove-member <profile-id> [--workspace-id <value>]","blocked","real api.cadenya.com: generated CLI request reached the endpoint; supplied credential returned ADMIN_ROLE_REQUIRED (HTTP 403)",""
"api","ProfilesService_Whoami","/tmp/redwood-cli-live.g6SvWe/cadenya profiles whoami","/tmp/redwood-cli-live.g6SvWe/cadenya profiles whoami","completed","real api.cadenya.com: CLI exit 0 and decoded expected JSON shape; no response body persisted",""
"api","WorkspaceService_ListWorkspaces","/tmp/redwood-cli-live.g6SvWe/cadenya workspaces list","/tmp/redwood-cli-live.g6SvWe/cadenya workspaces list [--limit <value>] [--cursor <value>] [--sort-order <value>] [--include-info[=true|false]] [--labels <value>]","completed","real api.cadenya.com: CLI exit 0 and decoded expected JSON shape; no response body persisted",""
"api","AgentService_ListAgents","/tmp/redwood-cli-live.g6SvWe/cadenya agents list","/tmp/redwood-cli-live.g6SvWe/cadenya agents list [--workspace-id <value>] [--limit <value>] [--cursor <value>] [--prefix <value>] [--query <value>] [--state <value>] [--variation-selection-mode <value>] [--labels <value>] [--sort-order <value>] [--include-info[=true|false]]","completed","real api.cadenya.com: CLI exit 0 and decoded expected JSON shape; no response body persisted",""
"api","AgentService_CreateAgent","/tmp/redwood-cli-live.g6SvWe/cadenya agents create","/tmp/redwood-cli-live.g6SvWe/cadenya agents create [--workspace-id <value>] --name <value> [--external-id <value>] [--label KEY=VALUE]... [--description <value>] [--webhook-events-url <value>] --variation-selection-mode <random|weighted> [--system-prompt-data-schema KEY=VALUE|<doc>]... [--output-definition KEY=VALUE|<doc>]... [--enable-episodic-memory[=true|false]] [--episodic-memory-ttl <value>] [--default-variation-name <value>] [--default-variation-external-id <value>] [--default-variation-label KEY=VALUE]... [--default-variation-system-prompt-template <value>] [--default-variation-discovery-max-tools <value>] [--default-variation-discovery-hint <value>]... [--default-variation-constraints-max-tool-calls <value>] [--default-variation-constraints-max-sub-objectives <value>] [--default-variation-constraints-inactivity-timeout <value>] [--default-variation-description <value>] [--default-variation-model-id <value>] [--default-variation-model-temperature <value>] [--default-variation-model-top-p <value>] [--default-variation-model-top-k <value>] [--default-variation-model-stop-sequence <value>]... [--default-variation-model-max-output-tokens <value>] [--default-variation-model-reasoning-effort <none|low|medium|high>] [--default-variation-model-caching-enabled[=true|false]] [--default-variation-compaction-trigger-threshold <value>] [--default-variation-compaction-summarization-instructions <value>] [--default-variation-compaction-tool-result-clearing-preserve-recent-results <value>] [--default-variation-first-user-message-template <value>] [-f <doc>] [--dry-run]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentService_ListAgentFeedback","/tmp/redwood-cli-live.g6SvWe/cadenya agents list-feedback","/tmp/redwood-cli-live.g6SvWe/cadenya agents list-feedback <agent-id> [--workspace-id <value>] [--limit <value>] [--cursor <value>] [--query <value>] [--sentiment <value>] [--agent-variation-id <value>] [--created-after <value>] [--created-before <value>] [--labels <value>] [--include-info[=true|false]]","completed","real api.cadenya.com: CLI exit 0 and decoded expected JSON shape; no response body persisted",""
"api","AgentService_ListAgentWebhookDeliveries","/tmp/redwood-cli-live.g6SvWe/cadenya agents list-webhook-deliveries","/tmp/redwood-cli-live.g6SvWe/cadenya agents list-webhook-deliveries <agent-id> [--workspace-id <value>] [--cursor <value>] [--limit <value>] [--objective-id <value>] [--event-type <value>] [--labels <value>]","completed","real api.cadenya.com: CLI exit 0 and decoded expected JSON shape; no response body persisted",""
"api","AgentService_GetAgent","/tmp/redwood-cli-live.g6SvWe/cadenya agents retrieve","/tmp/redwood-cli-live.g6SvWe/cadenya agents retrieve <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI exit 0 and decoded expected JSON shape; no response body persisted",""
"api","AgentService_DeleteAgent","/tmp/redwood-cli-live.g6SvWe/cadenya agents delete","/tmp/redwood-cli-live.g6SvWe/cadenya agents delete <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentService_UpdateAgent","/tmp/redwood-cli-live.g6SvWe/cadenya agents update","/tmp/redwood-cli-live.g6SvWe/cadenya agents update <id> [--workspace-id <value>] [--name <value>] [--external-id <value>] [--label KEY=VALUE]... [--description <value>] [--webhook-events-url <value>] [--variation-selection-mode <random|weighted>] [--system-prompt-data-schema KEY=VALUE|<doc>]... [--output-definition KEY=VALUE|<doc>]... [--enable-episodic-memory[=true|false]] [--episodic-memory-ttl <value>] [--update-mask <value>] [-f <doc>] [--dry-run]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentService_ArchiveAgent","/tmp/redwood-cli-live.g6SvWe/cadenya agents archive","/tmp/redwood-cli-live.g6SvWe/cadenya agents archive <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentService_PublishAgent","/tmp/redwood-cli-live.g6SvWe/cadenya agents publish","/tmp/redwood-cli-live.g6SvWe/cadenya agents publish <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentService_UnarchiveAgent","/tmp/redwood-cli-live.g6SvWe/cadenya agents unarchive","/tmp/redwood-cli-live.g6SvWe/cadenya agents unarchive <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentService_UnpublishAgent","/tmp/redwood-cli-live.g6SvWe/cadenya agents unpublish","/tmp/redwood-cli-live.g6SvWe/cadenya agents unpublish <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentScheduleService_ListAgentSchedules","/tmp/redwood-cli-live.g6SvWe/cadenya agents schedules list","/tmp/redwood-cli-live.g6SvWe/cadenya agents schedules list <agent-id> [--workspace-id <value>] [--limit <value>] [--cursor <value>] [--prefix <value>] [--query <value>] [--labels <value>] [--sort-order <value>] [--include-info[=true|false]]","completed","real api.cadenya.com: CLI exit 0 and decoded expected JSON shape; no response body persisted",""
"api","AgentScheduleService_CreateAgentSchedule","/tmp/redwood-cli-live.g6SvWe/cadenya agents schedules create","/tmp/redwood-cli-live.g6SvWe/cadenya agents schedules create <agent-id> [--workspace-id <value>] --name <value> [--external-id <value>] [--label KEY=VALUE]... [--schedule-calendar <doc>]... [--schedule-interval k=v,...|<doc>]... [--schedule-timezone <value>] [--overlap-policy <allow|skip>] [--first-user-message <value>] [--variation-id <value>] [--system-prompt-data KEY=VALUE|<doc>]... [--first-user-message-data KEY=VALUE|<doc>]... [-f <doc>] [--dry-run]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentScheduleService_GetAgentSchedule","/tmp/redwood-cli-live.g6SvWe/cadenya agents schedules retrieve","/tmp/redwood-cli-live.g6SvWe/cadenya agents schedules retrieve <agent-id> <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentScheduleService_DeleteAgentSchedule","/tmp/redwood-cli-live.g6SvWe/cadenya agents schedules delete","/tmp/redwood-cli-live.g6SvWe/cadenya agents schedules delete <agent-id> <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentScheduleService_UpdateAgentSchedule","/tmp/redwood-cli-live.g6SvWe/cadenya agents schedules update","/tmp/redwood-cli-live.g6SvWe/cadenya agents schedules update <agent-id> <id> [--workspace-id <value>] [--name <value>] [--external-id <value>] [--label KEY=VALUE]... [--schedule-calendar <doc>]... [--schedule-interval k=v,...|<doc>]... [--schedule-timezone <value>] [--overlap-policy <allow|skip>] [--first-user-message <value>] [--variation-id <value>] [--system-prompt-data KEY=VALUE|<doc>]... [--first-user-message-data KEY=VALUE|<doc>]... [--update-mask <value>] [-f <doc>] [--dry-run]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentScheduleService_ArchiveAgentSchedule","/tmp/redwood-cli-live.g6SvWe/cadenya agents schedules archive","/tmp/redwood-cli-live.g6SvWe/cadenya agents schedules archive <agent-id> <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentScheduleService_PauseAgentSchedule","/tmp/redwood-cli-live.g6SvWe/cadenya agents schedules pause","/tmp/redwood-cli-live.g6SvWe/cadenya agents schedules pause <agent-id> <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentScheduleService_ResumeAgentSchedule","/tmp/redwood-cli-live.g6SvWe/cadenya agents schedules resume","/tmp/redwood-cli-live.g6SvWe/cadenya agents schedules resume <agent-id> <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentVariationService_ListAgentVariations","/tmp/redwood-cli-live.g6SvWe/cadenya agents variations list","/tmp/redwood-cli-live.g6SvWe/cadenya agents variations list <agent-id> [--workspace-id <value>] [--limit <value>] [--cursor <value>] [--sort-order <value>] [--include-info[=true|false]] [--labels <value>]","completed","real api.cadenya.com: CLI exit 0 and decoded expected JSON shape; no response body persisted",""
"api","AgentVariationService_CreateAgentVariation","/tmp/redwood-cli-live.g6SvWe/cadenya agents variations create","/tmp/redwood-cli-live.g6SvWe/cadenya agents variations create <agent-id> [--workspace-id <value>] --name <value> [--external-id <value>] [--label KEY=VALUE]... [--system-prompt-template <value>] [--discovery-max-tools <value>] [--discovery-hint <value>]... [--constraints-max-tool-calls <value>] [--constraints-max-sub-objectives <value>] [--constraints-inactivity-timeout <value>] [--description <value>] [--model-id <value>] [--model-temperature <value>] [--model-top-p <value>] [--model-top-k <value>] [--model-stop-sequence <value>]... [--model-max-output-tokens <value>] [--model-reasoning-effort <none|low|medium|high>] [--model-caching-enabled[=true|false]] [--compaction-trigger-threshold <value>] [--compaction-summarization-instructions <value>] [--compaction-tool-result-clearing-preserve-recent-results <value>] [--first-user-message-template <value>] [-f <doc>] [--dry-run]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentVariationService_GetAgentVariation","/tmp/redwood-cli-live.g6SvWe/cadenya agents variations retrieve","/tmp/redwood-cli-live.g6SvWe/cadenya agents variations retrieve <agent-id> <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI exit 0 and decoded expected JSON shape; no response body persisted",""
"api","AgentVariationService_DeleteAgentVariation","/tmp/redwood-cli-live.g6SvWe/cadenya agents variations delete","/tmp/redwood-cli-live.g6SvWe/cadenya agents variations delete <agent-id> <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentVariationService_UpdateAgentVariation","/tmp/redwood-cli-live.g6SvWe/cadenya agents variations update","/tmp/redwood-cli-live.g6SvWe/cadenya agents variations update <agent-id> <id> [--workspace-id <value>] [--name <value>] [--external-id <value>] [--label KEY=VALUE]... [--system-prompt-template <value>] [--discovery-max-tools <value>] [--discovery-hint <value>]... [--constraints-max-tool-calls <value>] [--constraints-max-sub-objectives <value>] [--constraints-inactivity-timeout <value>] [--description <value>] [--model-id <value>] [--model-temperature <value>] [--model-top-p <value>] [--model-top-k <value>] [--model-stop-sequence <value>]... [--model-max-output-tokens <value>] [--model-reasoning-effort <none|low|medium|high>] [--model-caching-enabled[=true|false]] [--compaction-trigger-threshold <value>] [--compaction-summarization-instructions <value>] [--compaction-tool-result-clearing-preserve-recent-results <value>] [--first-user-message-template <value>] [--update-mask <value>] [-f <doc>] [--dry-run]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentVariationService_AddAgentVariationAssignment","/tmp/redwood-cli-live.g6SvWe/cadenya agents variations add-assignment","/tmp/redwood-cli-live.g6SvWe/cadenya agents variations add-assignment <agent-id> <variation-id> [--workspace-id <value>] --type <tool-id|tool-set-id|sub-agent-id> [--tool-id <value>] [--tool-set-id <value>] [--sub-agent-id <value>] [-f <doc>] [--dry-run]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentVariationService_RemoveAgentVariationAssignment","/tmp/redwood-cli-live.g6SvWe/cadenya agents variations remove-assignment","/tmp/redwood-cli-live.g6SvWe/cadenya agents variations remove-assignment <agent-id> <variation-id> <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentVariationService_AddAgentVariationMemoryLayer","/tmp/redwood-cli-live.g6SvWe/cadenya agents variations add-memory-layer","/tmp/redwood-cli-live.g6SvWe/cadenya agents variations add-memory-layer <agent-id> <variation-id> [--workspace-id <value>] --memory-layer-id <value> [--position <value>] [-f <doc>] [--dry-run]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentVariationService_RemoveAgentVariationMemoryLayer","/tmp/redwood-cli-live.g6SvWe/cadenya agents variations remove-memory-layer","/tmp/redwood-cli-live.g6SvWe/cadenya agents variations remove-memory-layer <agent-id> <variation-id> <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AgentVariationService_UpdateAgentVariationMemoryLayer","/tmp/redwood-cli-live.g6SvWe/cadenya agents variations update-memory-layer","/tmp/redwood-cli-live.g6SvWe/cadenya agents variations update-memory-layer <agent-id> <variation-id> <id> [--workspace-id <value>] [--position <value>] [-f <doc>] [--dry-run]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","AIProviderKeyService_ListAIProviderKeys","/tmp/redwood-cli-live.g6SvWe/cadenya ai-provider-keys list","/tmp/redwood-cli-live.g6SvWe/cadenya ai-provider-keys list [--workspace-id <value>] [--limit <value>] [--cursor <value>] [--prefix <value>] [--query <value>] [--promotional[=true|false]] [--labels <value>] [--sort-order <value>] [--include-info[=true|false]]","completed","real api.cadenya.com: CLI exit 0 and decoded expected JSON shape; no response body persisted",""
"api","AIProviderKeyService_CreateAIProviderKey","/tmp/redwood-cli-live.g6SvWe/cadenya ai-provider-keys create","/tmp/redwood-cli-live.g6SvWe/cadenya ai-provider-keys create [--workspace-id <value>] --name <value> [--external-id <value>] [--label KEY=VALUE]... [--provider <openrouter|openai|anthropic|gemini|openai-compatible>] [--credentials <api-key|headers>] [--api-key <value>] [--header KEY=VALUE]... [--config <openrouter|openai|openai-compatible>] [--openrouter-region <value>] [--openai-organization-id <value>] [--openai-project-id <value>] [--openai-compatible-base-url <value>] [-f <doc>] [--dry-run]","blocked","real api.cadenya.com: nested provider/credentials union flags reached the endpoint; supplied credential returned ADMIN_ROLE_REQUIRED (HTTP 403)",""
"api","AIProviderKeyService_GetAIProviderKey","/tmp/redwood-cli-live.g6SvWe/cadenya ai-provider-keys retrieve","/tmp/redwood-cli-live.g6SvWe/cadenya ai-provider-keys retrieve <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI exit 0 and decoded expected JSON shape; no response body persisted",""
"api","AIProviderKeyService_DeleteAIProviderKey","/tmp/redwood-cli-live.g6SvWe/cadenya ai-provider-keys delete","/tmp/redwood-cli-live.g6SvWe/cadenya ai-provider-keys delete <id> [--workspace-id <value>]","blocked","real api.cadenya.com: create prerequisite unavailable because supplied credential lacks the admin role",""
"api","AIProviderKeyService_UpdateAIProviderKey","/tmp/redwood-cli-live.g6SvWe/cadenya ai-provider-keys update","/tmp/redwood-cli-live.g6SvWe/cadenya ai-provider-keys update <id> [--workspace-id <value>] [--name <value>] [--external-id <value>] [--label KEY=VALUE]... [--provider <openrouter|openai|anthropic|gemini|openai-compatible>] [--credentials <api-key|headers>] [--api-key <value>] [--header KEY=VALUE]... [--config <openrouter|openai|openai-compatible>] [--openrouter-region <value>] [--openai-organization-id <value>] [--openai-project-id <value>] [--openai-compatible-base-url <value>] [--update-mask <value>] [-f <doc>] [--dry-run]","blocked","real api.cadenya.com: create prerequisite unavailable because supplied credential lacks the admin role",""
"api","MemoryService_ListMemoryLayers","/tmp/redwood-cli-live.g6SvWe/cadenya memory-layers list","/tmp/redwood-cli-live.g6SvWe/cadenya memory-layers list [--workspace-id <value>] [--limit <value>] [--cursor <value>] [--prefix <value>] [--query <value>] [--type <value>] [--agent-id <value>] [--episodic-key-prefix <value>] [--labels <value>] [--sort-order <value>] [--include-info[=true|false]]","completed","real api.cadenya.com: CLI exit 0 and decoded expected JSON shape; no response body persisted",""
"api","MemoryService_CreateMemoryLayer","/tmp/redwood-cli-live.g6SvWe/cadenya memory-layers create","/tmp/redwood-cli-live.g6SvWe/cadenya memory-layers create [--workspace-id <value>] --name <value> [--external-id <value>] [--label KEY=VALUE]... --type <episodic|skills> [--description <value>] [-f <doc>] [--dry-run]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","MemoryService_GetMemoryLayer","/tmp/redwood-cli-live.g6SvWe/cadenya memory-layers retrieve","/tmp/redwood-cli-live.g6SvWe/cadenya memory-layers retrieve <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI exit 0 and decoded expected JSON shape; no response body persisted",""
"api","MemoryService_DeleteMemoryLayer","/tmp/redwood-cli-live.g6SvWe/cadenya memory-layers delete","/tmp/redwood-cli-live.g6SvWe/cadenya memory-layers delete <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","MemoryService_UpdateMemoryLayer","/tmp/redwood-cli-live.g6SvWe/cadenya memory-layers update","/tmp/redwood-cli-live.g6SvWe/cadenya memory-layers update <id> [--workspace-id <value>] [--name <value>] [--external-id <value>] [--label KEY=VALUE]... [--type <episodic|skills>] [--description <value>] [--update-mask <value>] [-f <doc>] [--dry-run]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","MemoryService_ListMemoryEntries","/tmp/redwood-cli-live.g6SvWe/cadenya memory-layers entries list","/tmp/redwood-cli-live.g6SvWe/cadenya memory-layers entries list <memory-layer-id> [--workspace-id <value>] [--limit <value>] [--cursor <value>] [--prefix <value>] [--query <value>] [--labels <value>] [--sort-order <value>] [--include-info[=true|false]]","completed","real api.cadenya.com: CLI exit 0 and decoded expected JSON shape; no response body persisted",""
"api","MemoryService_CreateMemoryEntry","/tmp/redwood-cli-live.g6SvWe/cadenya memory-layers entries create","/tmp/redwood-cli-live.g6SvWe/cadenya memory-layers entries create <memory-layer-id> [--workspace-id <value>] --name <value> [--external-id <value>] [--label KEY=VALUE]... --type <content|upload-id> [--content <value>] [--key <value>] [--description <value>] [--upload-id <value>] [-f <doc>] [--dry-run]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","MemoryService_GetMemoryEntry","/tmp/redwood-cli-live.g6SvWe/cadenya memory-layers entries retrieve","/tmp/redwood-cli-live.g6SvWe/cadenya memory-layers entries retrieve <memory-layer-id> <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI exit 0 and decoded expected JSON shape; no response body persisted",""
